Page,Street,Block,Sector,Street Number,Tree No.,Species (raw),Species,Year Planted,Years,Height 1,Height 2,Height 3,Height 4,Diameter 1,Diameter 2,Diameter 3,Diameter 4
1,1st avenue north,1630,NE-4 32,1630,1,no room,no room,,"1981, 1989",,,,,,,,
1,1st avenue north,1630,NE-4 32,1630,2,no room,no room,,"1981, 1989",,,,,,,,
1,1st avenue north,1630,NE-4 32,1630,3,choke cherry,Prunus virginiana,Removed,"1981, 1989",14,,,,7,,,
1,1st avenue north,1630,NE-4 32,1630,4,Colorado spruce,Picea pungens,,"1981, 1989",15,15,,,7,,,
1,1st avenue north,1630,NE-4 32,1630,5,American elm,Ulmus americana,Removed,"1981, 1989",9,,,,4,,,
1,1st avenue north,1630,NE-4 32,1630,6,American elm,Ulmus americana,,"1981, 1989",8,6,,,3,,,
1,1st avenue north,1630,NE-4 32,1630,7,White spruce,Picea glauca,Removed,"1981, 1989",17,20,,,8,,,
2,1st avenue north,1860 - 2230,32,1860,1,Colorado Spruce,Picea pungens,,"1961, 1982",27,30,,,16,25,,
2,1st avenue north,1860 - 2230,32,1860,2,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,1880,1,American Elm,Ulmus americana,,"1961, 1982",29,30,,,30,40,,
2,1st avenue north,1860 - 2230,32,1880,2,American Elm,Ulmus americana,,"1961, 1982",23,20,,,16,20,,
2,1st avenue north,1860 - 2230,32,1880,3,American Elm,Ulmus americana,,"1961, 1982",30,32,,,28,25,,
2,1st avenue north,1860 - 2230,32,1880,4,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,1880,5,Trembling Aspen,Populus tremuloides,,"1961, 1982",30,20,,,28,35,,
2,1st avenue north,1860 - 2230,32,1880,6,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2036,1,manchurian Elm,Ulmus laciniata,Removed,"1961, 1982",30,,,,8,,,
2,1st avenue north,1860 - 2230,32,2036,2,Lilac,Syringa vulgaris,Removed,"1961, 1982",15,,,,6,,,
2,1st avenue north,1860 - 2230,32,2036,3,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2036,4,Lilac,Syringa vulgaris,Removed,"1961, 1982",15,,,,5,,,
2,1st avenue north,1860 - 2230,32,2036,5,Trembling Aspen,Populus tremuloides,,"1961, 1982",35,35,,,28,36,,
2,1st avenue north,1860 - 2230,32,2220,1,Lilac,Syringa vulgaris,Removed,"1961, 1982",3,,,,2,,,
2,1st avenue north,1860 - 2230,32,2220,2,Lilac,Syringa vulgaris,Removed,"1961, 1982",3,,,,2,,,
2,1st avenue north,1860 - 2230,32,2220,3,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2230,1,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,2,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,3,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,4,mountain ash,Sorbus aucuparia,Removed,"1961, 1982",6,,,,2,,,
2,1st avenue north,1860 - 2230,32,2230,5,,,,"1961, 1982",,,,,,,,
2,1st avenue north,1860 - 2230,32,2230,6,,,,"1961, 1982",,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,1,,,,1981,,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,2,,,,1981,,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,3,,,,1981,,,,,,,,
3,1st avenue north,2109-2109,32 Ave,2109,4,ceder,Thuja occidentalis,Removed,1981,7,,,,3,,,
3,1st avenue north,2109-2109,32 Ave,2109,5,,,,1981,,,,,,,,
4,1st ave north,7104 - 7336,21,7104,1,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7104,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7104,3,White Spruce,Picea glauca,,"1984, 1987",,2,,,,,,
4,1st ave north,7104 - 7336,21,7104,4,White Spruce,Picea glauca,,"1984, 1987",,2,,,,,,
4,1st ave north,7104 - 7336,21,7108,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",,7,,,3,,,
4,1st ave north,7104 - 7336,21,7108,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7112,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",7,8,,,4,,,
4,1st ave north,7104 - 7336,21,7112,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7212,1,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7212,2,Driveway,utility,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7220,1,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7220,2,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",7,8,,,4,,,
4,1st ave north,7104 - 7336,21,7224,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",6,8,,,3,,,
4,1st ave north,7104 - 7336,21,7224,2,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",,5,,,,,,
4,1st ave north,7104 - 7336,21,7304,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",4,5,,,3,,,
4,1st ave north,7104 - 7336,21,7304,2,Green Ash,Fraxinus pennsylvanica,may 7/91,"1984, 1987",,10,,,4,,,
4,1st ave north,7104 - 7336,21,7312,1,Colorado Spruce,Picea pungens,,"1984, 1987",,4,,,,,,
4,1st ave north,7104 - 7336,21,7312,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7320,1,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",6,6,,,2,,,
4,1st ave north,7104 - 7336,21,7320,2,,,,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7328,1,Green Ash (477),Fraxinus pennslyvanica,,"1984, 1987",6,6,,,2,,,
4,1st ave north,7104 - 7336,21,7328,2,Green Ash,Fraxinus pennsylvanica,,"1984, 1987",7,9,,,4,,,
4,1st ave north,7104 - 7336,21,7336,1,(548),(548),,"1984, 1987",,,,,,,,
4,1st ave north,7104 - 7336,21,7336,2,Green Ash (549),Fraxinus pennslyvanica,,"1984, 1987",7,9,,,4,,,
5,1st ave north.,7311-7411,NW-7 21,7311,1,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7319,1,Green Ash,Fraxinus pennsylvanica,fall 85,1987,6,,,,2,,,
5,1st ave north.,7311-7411,NW-7 21,7319,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,6,,,,2,,,
5,1st ave north.,7311-7411,NW-7 21,7327,1,,,,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7327,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7335,1,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7335,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7403,1,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7403,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
5,1st ave north.,7311-7411,NW-7 21,7411,1,greenash(478),Fraxinus pennslyvanica,fall 85,1987,6,,,,2,,,
5,1st ave north.,7311-7411,NW-7 21,7411,2,greenash,Fraxinus pennsylvanica,Spring 84,1987,,,,,,,,
6,1st avenue north,6623-6931,NW 7,6623,1,driveway,utility,,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6623,2,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",7,10,,,3,,,
6,1st avenue north,6623-6931,NW 7,6627,1,,,Driveway,"1981, 1981, 1987",,,,,,,,
6,1st avenue north,6623-6931,NW 7,6627,2,Weeping Birch,Betula pendula 'Youngii',,"1981, 1981, 1987",,19,,,,,,
6,1st avenue north,6623-6931,NW 7,6631,1,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",8,11,,,3,,,
6,1st avenue north,6623-6931,NW 7,6631,2,green ash,Fraxinus pennsylvanica,,"1981, 1981, 1987",6,10,,,2,,,
6,1st avenue north,6623-6931,NW 7,6703,1,white spruce,Picea glauca,,"1981, 1981, 1987",10,14,,,4,,,
6,1st avenue north,6623-6931,NW 7,6703,2,white spruce,Picea glauca,,"1981, 1981, 1987",10,16,,,4,,,
