Street,Block,Sector,Street Number,Tree No.,Species,Year Planted,Height (1951),Diameter (1951),Height (1956),Diameter (1956),Height (1959),Diameter (1959),Height (1961),Diameter (1961),Height (1967),Diameter (1967),Height (1972),Diameter (1972),Height (1977),Diameter (1977),Height (1981),Diameter (1981),Height (1982),Diameter (1982),Height (1983),Diameter (1983),Height (1984),Diameter (1984),Height (1985),Diameter (1985),Height (1986),Diameter (1986),Height (1987),Diameter (1987),Height (1988),Diameter (1988),Height (1989),Diameter (1989),Height (1990),Diameter (1990),Height (1992),Diameter (1992),Height (1993),Diameter (1993),Height (1997),Diameter (1997)
1st Avenue North,1630,NE-4 32,1630,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1630,NE-4 32,1630,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1630,NE-4 32,1630,3,Prunus virginiana,Removed,,,,,,,,,,,,,,,14,7,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1630,NE-4 32,1630,4,Picea pungens,,,,,,,,,,,,,,,,15,7,,,,,,,,,,,,,,,15,,,,,,,,,
1st Avenue North,1630,NE-4 32,1630,5,Ulmus americana,Removed,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1630,NE-4 32,1630,6,Ulmus americana,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,6,,,,,,,,,
1st Avenue North,1630,NE-4 32,1630,7,Picea glauca,Removed,,,,,,,,,,,,,,,17,8,,,,,,,,,,,,,,,20,,,,,,,,,
1st Avenue North,1860 - 2230,32,1860,1,Picea pungens,,,,,,,,27,16,,,,,,,,,30,25,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,1860,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,1880,1,Ulmus americana,,,,,,,,29,30,,,,,,,,,30,40,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,1880,2,Ulmus americana,,,,,,,,23,16,,,,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,1880,3,Ulmus americana,,,,,,,,30,28,,,,,,,,,32,25,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,1880,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,1880,5,Populus tremuloides,,,,,,,,30,28,,,,,,,,,20,35,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,1880,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,2036,1,Ulmus laciniata,Removed,,,,,,,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue North,1860 - 2230,32,2036,2,Syringa vulgaris,Removed,,,,,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
