Page,Street,Block,Sector,Street Number,Address,Tree No.,Species,Year Planted,Height (1961),Height (1967),Height (1971),Height (1972),Height (1977),Height (1981),Height (1982),Height (1983),Height (1984),Height (1985),Height (1986),Height (1987),Height (1988),Height (1989),Height (1990),Height (1991),Height (1992),Height (1993),Height (1997),Diameter (1961),Diameter (1967),Diameter (1971),Diameter (1972),Diameter (1977),Diameter (1981),Diameter (1982),Diameter (1983),Diameter (1984),Diameter (1985),Diameter (1986),Diameter (1987),Diameter (1988),Diameter (1989),Diameter (1990),Diameter (1991),Diameter (1992),Diameter (1993),Diameter (1997)
28,1st Avenue,1433-2203,30/ NW-7,1433,1433 1st Avenue,6,Ulmus americana,,4,10,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1531,1531 1st Avenue,1,Ulmus americana,,,10,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1531,1531 1st Avenue,2,Ulmus americana,,,10,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1301,1301 1st Avenue,1,Ulmus americana,,,10,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1301,1301 1st Avenue,2,Ulmus americana,,,10,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1301,1301 1st Avenue,3,Ulmus americana,,,10,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1301,1301 1st Avenue,5,Ulmus americana,,,11,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1433,1433 1st Avenue,1,Ulmus americana,,,12,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1433,1433 1st Avenue,2,Ulmus americana,,,12,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1433,1433 1st Avenue,3,Ulmus americana,,,12,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1433,1433 1st Avenue,4,Ulmus americana,,,12,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1433,1433 1st Avenue,5,Ulmus americana,,,12,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1301,1301 1st Avenue,4,Ulmus americana,,,12,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,1301,1301 1st Avenue,6,Ulmus americana,,,12,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,2203,2203 1st Avenue,1,Picea glauca,,14,18,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,2203,2203 1st Avenue,6,Picea pungens,,15,22,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,2203,2203 1st Avenue,3,Picea pungens,,19,26,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
28,1st Avenue,1433-2203,30/ NW-7,2203,2203 1st Avenue,4,Picea pungens,,19,26,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
