Page,Street,Block,Sector,Street Number,Tree No.,Species,Year Planted,Height (1961),Height (1967),Height (1971),Height (1972),Height (1977),Diameter (1961),Diameter (1967),Diameter (1971),Diameter (1972),Diameter (1977)
1,1st Avenue North,1630,NE-4 32,1630,1,,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,2,,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,3,Prunus virginiana,Removed,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,4,Picea pungens,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,5,Ulmus americana,Removed,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,6,Ulmus americana,,,,,,,,,,,
1,1st Avenue North,1630,NE-4 32,1630,7,Picea glauca,Removed,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2036,5,Populus tremuloides,,35,,,,,28,,,,
2,1st Avenue North,1860 - 2230,32,1880,3,Ulmus americana,,30,,,,,28,,,,
2,1st Avenue North,1860 - 2230,32,1880,5,Populus tremuloides,,30,,,,,28,,,,
2,1st Avenue North,1860 - 2230,32,2036,1,Ulmus laciniata,Removed,30,,,,,8,,,,
2,1st Avenue North,1860 - 2230,32,1880,1,Ulmus americana,,29,,,,,30,,,,
2,1st Avenue North,1860 - 2230,32,1860,1,Picea pungens,,27,,,,,16,,,,
2,1st Avenue North,1860 - 2230,32,1880,2,Ulmus americana,,23,,,,,16,,,,
2,1st Avenue North,1860 - 2230,32,2036,2,Syringa vulgaris,Removed,15,,,,,6,,,,
2,1st Avenue North,1860 - 2230,32,2036,4,Syringa vulgaris,Removed,15,,,,,5,,,,
2,1st Avenue North,1860 - 2230,32,2230,1,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2230,2,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2230,3,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2230,4,Sorbus aucuparia,Removed,6,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2220,1,Syringa vulgaris,Removed,3,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,2220,2,Syringa vulgaris,Removed,3,,,,,2,,,,
2,1st Avenue North,1860 - 2230,32,1860,2,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,1880,4,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,1880,6,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2036,3,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2220,3,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2230,5,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2230,6,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,1,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,2,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,3,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,4,Thuja occidentalis,Removed,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,5,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,1,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,3,Picea glauca,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,4,Picea glauca,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7108,1,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7108,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7112,1,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7112,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7212,1,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7212,2,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7220,1,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7220,2,Fraxinus pennsylvanica,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7224,1,Fraxinus pennsylvanica,,,,,,,,,,,
